point_id,direction,status,gcs_uri,latitude,longitude,street_bearing,heading,pano_id
0505,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0505_left_40.9684344_29.058946_117.1.jpg,40.9684344,29.058946,207.07,117.07,DzBrYH8zA9LgJWYbsSjbeA
0506,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0506_forward_40.9682742_29.0588375_207.1.jpg,40.9682742,29.0588375,207.07,207.07,WD_W4J_4RqUbbSFjKtu9gQ
0506,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0506_right_40.9682742_29.0588375_297.1.jpg,40.9682742,29.0588375,207.07,297.07,WD_W4J_4RqUbbSFjKtu9gQ
0506,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0506_backward_40.9682742_29.0588375_27.1.jpg,40.9682742,29.0588375,207.07,27.069999999999993,WD_W4J_4RqUbbSFjKtu9gQ
0506,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0506_left_40.9682742_29.0588375_117.1.jpg,40.9682742,29.0588375,207.07,117.07,WD_W4J_4RqUbbSFjKtu9gQ
0507,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0507_forward_40.9681139_29.058729_207.1.jpg,40.9681139,29.058729,207.08,207.08,COoLVegQHX_j5s86K421cw
0507,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0507_right_40.9681139_29.058729_297.1.jpg,40.9681139,29.058729,207.08,297.08000000000004,COoLVegQHX_j5s86K421cw
0507,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0507_backward_40.9681139_29.058729_27.1.jpg,40.9681139,29.058729,207.08,27.08000000000004,COoLVegQHX_j5s86K421cw
0507,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0507_left_40.9681139_29.058729_117.1.jpg,40.9681139,29.058729,207.08,117.08000000000004,COoLVegQHX_j5s86K421cw
0508,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0508_forward_40.9679537_29.0586205_207.9.jpg,40.9679537,29.0586205,207.95,207.95,JF5bqvKqLir6ZZS61-y37Q
0508,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0508_right_40.9679537_29.0586205_297.9.jpg,40.9679537,29.0586205,207.95,297.95,JF5bqvKqLir6ZZS61-y37Q
0508,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0508_backward_40.9679537_29.0586205_27.9.jpg,40.9679537,29.0586205,207.95,27.94999999999999,JF5bqvKqLir6ZZS61-y37Q
0508,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0508_left_40.9679537_29.0586205_117.9.jpg,40.9679537,29.0586205,207.95,117.94999999999999,JF5bqvKqLir6ZZS61-y37Q
0509,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0509_forward_40.9677948_29.0585088_207.3.jpg,40.9677948,29.0585088,207.26,207.26,nMfKKS3o80VfgXEr4Smijw
0509,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0509_right_40.9677948_29.0585088_297.3.jpg,40.9677948,29.0585088,207.26,297.26,nMfKKS3o80VfgXEr4Smijw
0509,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0509_backward_40.9677948_29.0585088_27.3.jpg,40.9677948,29.0585088,207.26,27.25999999999999,nMfKKS3o80VfgXEr4Smijw
0509,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0509_left_40.9677948_29.0585088_117.3.jpg,40.9677948,29.0585088,207.26,117.25999999999999,nMfKKS3o80VfgXEr4Smijw
0510,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0510_forward_40.9676348_29.0583996_211.2.jpg,40.9676348,29.0583996,211.15,211.15,ZNz7YoN6_CGRur81cDPwfg
0510,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0510_right_40.9676348_29.0583996_301.1.jpg,40.9676348,29.0583996,211.15,301.15,ZNz7YoN6_CGRur81cDPwfg
0510,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0510_backward_40.9676348_29.0583996_31.1.jpg,40.9676348,29.0583996,211.15,31.149999999999977,ZNz7YoN6_CGRur81cDPwfg
0510,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0510_left_40.9676348_29.0583996_121.1.jpg,40.9676348,29.0583996,211.15,121.14999999999998,ZNz7YoN6_CGRur81cDPwfg
0511,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0511_forward_40.9675474_29.0583297_211.2.jpg,40.9675474,29.0583297,211.15,211.15,gMMh0QWWfcCvI3TLj3Sj3Q
0511,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0511_right_40.9675474_29.0583297_301.1.jpg,40.9675474,29.0583297,211.15,301.15,gMMh0QWWfcCvI3TLj3Sj3Q
0511,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0511_backward_40.9675474_29.0583297_31.1.jpg,40.9675474,29.0583297,211.15,31.149999999999977,gMMh0QWWfcCvI3TLj3Sj3Q
0511,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0511_left_40.9675474_29.0583297_121.1.jpg,40.9675474,29.0583297,211.15,121.14999999999998,gMMh0QWWfcCvI3TLj3Sj3Q
0512,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0512_forward_40.9675474_29.0583297_29.4.jpg,40.9675474,29.0583297,29.42,29.42,gMMh0QWWfcCvI3TLj3Sj3Q
0512,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0512_right_40.9675474_29.0583297_119.4.jpg,40.9675474,29.0583297,29.42,119.42,gMMh0QWWfcCvI3TLj3Sj3Q
0512,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0512_backward_40.9675474_29.0583297_209.4.jpg,40.9675474,29.0583297,29.42,209.42000000000002,gMMh0QWWfcCvI3TLj3Sj3Q
