segment_id,point_id,point_type,direction,status,gcs_uri,latitude,longitude,pano_id,pano_lat,pano_lng,street_bearing,heading,pitch
6,0004,junction,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0004_right_41.0859427_29.0433625_76.2.jpg,41.0859427,29.0433625,AW02b1ZH2xqhxjPChhNogQ,41.08592513804336,29.04334438465963,346.2,76.19999999999999,-40
6,0005,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0005_forward_41.0859864_29.0433483_346.2.jpg,41.0859864,29.0433483,wb5SFLkUOKRnJCEFdJXoyg,41.08600908433589,29.04331614989577,346.2,346.2,-10
6,0005,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0005_backward_41.0859864_29.0433483_166.2.jpg,41.0859864,29.0433483,wb5SFLkUOKRnJCEFdJXoyg,41.08600908433589,29.04331614989577,346.2,166.20000000000005,-10
6,0005,street,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0005_left_41.0859864_29.0433483_256.2.jpg,41.0859864,29.0433483,wb5SFLkUOKRnJCEFdJXoyg,41.08600908433589,29.04331614989577,346.2,256.2,-40
6,0005,street,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0005_right_41.0859864_29.0433483_76.2.jpg,41.0859864,29.0433483,wb5SFLkUOKRnJCEFdJXoyg,41.08600908433589,29.04331614989577,346.2,76.19999999999999,-40
6,0006,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0006_forward_41.0860738_29.0433198_346.2.jpg,41.0860738,29.0433198,Mrv2s2nreHCGkr_yxXxptg,41.08609611216385,29.04328569541193,346.2,346.2,-10
6,0006,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0006_backward_41.0860738_29.0433198_166.2.jpg,41.0860738,29.0433198,Mrv2s2nreHCGkr_yxXxptg,41.08609611216385,29.04328569541193,346.2,166.20000000000005,-10
6,0006,street,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0006_left_41.0860738_29.0433198_256.2.jpg,41.0860738,29.0433198,Mrv2s2nreHCGkr_yxXxptg,41.08609611216385,29.04328569541193,346.2,256.2,-40
6,0006,street,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0006_right_41.0860738_29.0433198_76.2.jpg,41.0860738,29.0433198,Mrv2s2nreHCGkr_yxXxptg,41.08609611216385,29.04328569541193,346.2,76.19999999999999,-40
6,0007,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0007_forward_41.0861613_29.0432913_346.2.jpg,41.0861613,29.0432913,Gmg8H7dmSlaa8LjNmgow6Q,41.08618313988305,29.04325524092203,346.2,346.2,-10
6,0007,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0007_backward_41.0861613_29.0432913_166.2.jpg,41.0861613,29.0432913,Gmg8H7dmSlaa8LjNmgow6Q,41.08618313988305,29.04325524092203,346.2,166.20000000000005,-10
6,0007,street,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0007_left_41.0861613_29.0432913_256.2.jpg,41.0861613,29.0432913,Gmg8H7dmSlaa8LjNmgow6Q,41.08618313988305,29.04325524092203,346.2,256.2,-40
6,0007,street,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0007_right_41.0861613_29.0432913_76.2.jpg,41.0861613,29.0432913,Gmg8H7dmSlaa8LjNmgow6Q,41.08618313988305,29.04325524092203,346.2,76.19999999999999,-40
6,0008,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0008_forward_41.0862487_29.0432628_346.2.jpg,41.0862487,29.0432628,d_xhR9WtWbBC1pVFLCPcog,41.08627042014999,29.04322540794645,346.2,346.2,-10
6,0008,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0008_backward_41.0862487_29.0432628_166.2.jpg,41.0862487,29.0432628,d_xhR9WtWbBC1pVFLCPcog,41.08627042014999,29.04322540794645,346.2,166.20000000000005,-10
6,0008,street,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0008_left_41.0862487_29.0432628_256.2.jpg,41.0862487,29.0432628,d_xhR9WtWbBC1pVFLCPcog,41.08627042014999,29.04322540794645,346.2,256.2,-40
6,0008,street,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0008_right_41.0862487_29.0432628_76.2.jpg,41.0862487,29.0432628,d_xhR9WtWbBC1pVFLCPcog,41.08627042014999,29.04322540794645,346.2,76.19999999999999,-40
6,0009,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260516T080157Z/006-0009_forward_41.0863361_29.0432343_346.2.jpg,41.0863361,29.0432343,myj2TqqGgFk-Mle19oOqBQ,41.08635787969651,29.04319646285148,346.2,346.2,-10
