segment_id,point_id,point_type,direction,status,gcs_uri,latitude,longitude,pano_id,pano_lat,pano_lng,street_bearing,heading
1,0009,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0009_forward_40.7473214_-73.9916211_299.1.jpg,40.7473214,-73.9916211,QXRlPIVaCp_bluVbqtN5Jw,40.74732973890917,-73.99163733028146,299.11,299.11
1,0009,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0009_backward_40.7473214_-73.9916211_119.1.jpg,40.7473214,-73.9916211,QXRlPIVaCp_bluVbqtN5Jw,40.74732973890917,-73.99163733028146,299.11,119.11000000000001
1,0010,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0010_forward_40.7474525_-73.9919318_299.1.jpg,40.7474525,-73.9919318,0Y-AuW4R0UCrYwHB4VEJMQ,40.74746053179418,-73.99194866469351,299.11,299.11
1,0010,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0010_backward_40.7474525_-73.9919318_119.1.jpg,40.7474525,-73.9919318,0Y-AuW4R0UCrYwHB4VEJMQ,40.74746053179418,-73.99194866469351,299.11,119.11000000000001
1,0011,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0011_forward_40.7475835_-73.9922425_299.1.jpg,40.7475835,-73.9922425,s0-0dy2SvWPiKgptivZFyg,40.74759190411314,-73.99226143331751,299.11,299.11
1,0011,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0011_backward_40.7475835_-73.9922425_119.1.jpg,40.7475835,-73.9922425,s0-0dy2SvWPiKgptivZFyg,40.74759190411314,-73.99226143331751,299.11,119.11000000000001
1,0012,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0012_forward_40.7477146_-73.9925533_299.2.jpg,40.7477146,-73.9925533,3DDybC99Rld-YeVKnUZUlg,40.74771751296782,-73.99255537079684,299.17,299.17
1,0012,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0012_backward_40.7477146_-73.9925533_119.2.jpg,40.7477146,-73.9925533,3DDybC99Rld-YeVKnUZUlg,40.74771751296782,-73.99255537079684,299.17,119.17000000000002
1,0013,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0013_forward_40.7478459_-73.9928638_299.3.jpg,40.7478459,-73.9928638,xJ7n0Xg1gJo5Qw2AKVvxYQ,40.74784213183792,-73.9928152333915,299.34,299.34
1,0013,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0013_backward_40.7478459_-73.9928638_119.3.jpg,40.7478459,-73.9928638,xJ7n0Xg1gJo5Qw2AKVvxYQ,40.74784213183792,-73.9928152333915,299.34,119.33999999999997
